block,L,nblk,sel_ms,attn_ms,sel_GB,attn_GB,sel_pflop,attn_pflop
32,262144,8192,13.354,17.001,0.77,1.38,9e-06,0.000155
32,524288,16384,44.726,39.402,2.45,2.72,3.4e-05,0.000309
32,1048576,32768,162.238,84.286,8.63,5.41,0.000137,0.000618
32,4194304,131072,,353.433,,21.52,0.002199,0.002474
32,8388608,262144,,718.376,,43.0,0.008796,0.004948
32,16777216,524288,,1435.266,,85.97,0.035184,0.009896
64,262144,4096,5.813,17.144,0.42,1.38,2e-06,0.000309
64,524288,8192,16.669,39.638,1.04,2.72,9e-06,0.000618
64,1048576,16384,51.188,84.7,2.99,5.41,3.4e-05,0.001237
64,4194304,65536,652.293,359.088,34.4,21.52,0.00055,0.004948
64,8388608,131072,,715.961,,42.99,0.002199,0.009896
64,16777216,262144,,1447.602,,85.95,0.008796,0.019791
128,262144,2048,3.883,128.902,0.35,1.38,1e-06,0.000618
128,524288,4096,9.357,259.961,0.71,2.72,2e-06,0.001237
128,1048576,8192,23.32,522.961,1.58,5.41,9e-06,0.002474
128,4194304,32768,201.179,2045.251,11.85,21.51,0.000137,0.009896
128,8388608,65536,704.684,4262.913,38.69,42.99,0.00055,0.019791
128,16777216,131072,,,,,0.002199,0.039582
